Format Version,1.21,Take Name,black4Take 2024-04-10 04.05.45 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-10 04.05.45.715 PM,Total Frames in Take,3092,Total Exported Frames,3092,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1
,,"B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,X,Y,Z,
97,0.808333,-172.513245,7.143089,175.335648,-1.512483,0.454124,1.298347,0.000410
98,0.816667,-172.512299,7.161401,175.316666,-1.512469,0.454121,1.298353,0.000403
99,0.825000,-172.526550,7.166596,175.319885,-1.512470,0.454121,1.298357,0.000413
100,0.833333,-172.528320,7.144574,175.420990,-1.512492,0.454192,1.298374,0.000428
101,0.841667,-172.548264,7.144100,175.437943,-1.512510,0.454224,1.298373,0.000435
102,0.850000,-172.526398,7.156825,175.319443,-1.512488,0.454153,1.298354,0.000412
103,0.858333,-172.543564,7.160360,175.312119,-1.512501,0.454169,1.298346,0.000403
104,0.866667,-172.527588,7.163854,175.307953,-1.512504,0.454151,1.298344,0.000385
105,0.875000,-172.498276,7.151248,175.308807,-1.512489,0.454154,1.298347,0.000417
106,0.883333,-172.524887,7.158186,175.315353,-1.512505,0.454143,1.298345,0.000410
107,0.891667,-172.509598,7.150307,175.319534,-1.512487,0.454132,1.298353,0.000408
108,0.900000,-172.540573,7.135962,175.451172,-1.512507,0.454198,1.298383,0.000422
109,0.908333,-172.519318,7.146122,175.325363,-1.512485,0.454136,1.298349,0.000415
110,0.916667,-172.518005,7.130913,175.455429,-1.512484,0.454199,1.298389,0.000434
111,0.925000,-172.515915,7.158829,175.332611,-1.512472,0.454138,1.298352,0.000407
112,0.933333,-172.516037,7.153256,175.320526,-1.512488,0.454136,1.298360,0.000407
113,0.941667,-172.524902,7.129796,175.446838,-1.512499,0.454187,1.298373,0.000426
114,0.950000,-172.516403,7.160161,175.325684,-1.512498,0.454147,1.298369,0.000416
115,0.958333,-172.530670,7.169410,175.321335,-1.512480,0.454139,1.298357,0.000414
116,0.966667,-172.544220,7.138301,175.438126,-1.512529,0.454218,1.298381,0.000436
117,0.975000,-172.524368,7.166323,175.316055,-1.512497,0.454152,1.298353,0.000404
118,0.983333,-172.519287,7.166790,175.297821,-1.512492,0.454162,1.298353,0.000415
119,0.991667,-172.511612,7.154510,175.309036,-1.512503,0.454161,1.298356,0.000398
120,1.000000,-172.523575,7.132128,175.459045,-1.512510,0.454213,1.298386,0.000433
121,1.008333,-172.518463,7.143510,175.439163,-1.512508,0.454202,1.298374,0.000438
122,1.016667,-172.521149,7.160873,175.320724,-1.512467,0.454122,1.298372,0.000412
123,1.025000,-172.523849,7.134270,175.432709,-1.512491,0.454181,1.298383,0.000417
124,1.033333,-172.523575,7.162076,175.340256,-1.512490,0.454123,1.298362,0.000407
125,1.041667,-172.538651,7.160682,175.326614,-1.512493,0.454132,1.298361,0.000419
126,1.050000,-172.540741,7.161504,175.336243,-1.512480,0.454149,1.298365,0.000401
127,1.058333,-172.513489,7.156389,175.302856,-1.512490,0.454145,1.298348,0.000405
128,1.066667,-172.512177,7.158136,175.332504,-1.512484,0.454154,1.298357,0.000405
129,1.075000,-172.526749,7.168709,175.310623,-1.512485,0.454151,1.298356,0.000407
130,1.083333,-172.525986,7.155517,175.323807,-1.512498,0.454165,1.298354,0.000396
131,1.091667,-172.517487,7.154052,175.328232,-1.512487,0.454151,1.298361,0.000405
132,1.100000,-172.519516,7.157107,175.314209,-1.512489,0.454156,1.298364,0.000397
133,1.108333,-172.531387,7.163702,175.311584,-1.512489,0.454137,1.298356,0.000405
134,1.116667,-172.522186,7.167957,175.320953,-1.512484,0.454139,1.298349,0.000405
