Format Version,1.21,Take Name,1blackTake 2024-04-10 03.24.49 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-10 03.24.49.530 PM,Total Frames in Take,2166,Total Exported Frames,2166,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1
,,"B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,X,Y,Z,
104,0.866667,-8.223370,-6.022871,-5.605721,1.296082,0.460029,-1.216714,0.000244
105,0.875000,-8.227076,-6.024710,-5.603717,1.296081,0.460031,-1.216710,0.000234
106,0.883333,-8.231923,-6.012646,-5.602150,1.296084,0.460036,-1.216720,0.000228
107,0.891667,-8.233351,-6.018374,-5.616663,1.296081,0.460049,-1.216721,0.000228
108,0.900000,-8.218301,-6.014778,-5.596498,1.296071,0.460058,-1.216712,0.000231
109,0.908333,-8.226882,-6.024989,-5.597902,1.296063,0.460052,-1.216708,0.000234
110,0.916667,-8.231139,-6.015871,-5.605860,1.296073,0.460049,-1.216707,0.000243
111,0.925000,-8.230030,-6.018977,-5.603103,1.296066,0.460043,-1.216700,0.000242
112,0.933333,-8.220184,-6.017605,-5.597864,1.296062,0.460044,-1.216711,0.000244
113,0.941667,-8.227128,-6.022015,-5.610123,1.296073,0.460044,-1.216715,0.000248
114,0.950000,-8.225876,-6.012256,-5.604845,1.296071,0.460051,-1.216720,0.000236
115,0.958333,-8.225040,-6.019079,-5.595808,1.296069,0.460027,-1.216704,0.000238
116,0.966667,-8.212303,-6.014681,-5.590243,1.296070,0.460030,-1.216699,0.000241
117,0.975000,-8.221157,-6.010099,-5.592142,1.296075,0.460038,-1.216696,0.000239
118,0.983333,-8.219583,-6.018111,-5.582471,1.296076,0.460034,-1.216706,0.000246
119,0.991667,-8.220487,-6.027177,-5.603343,1.296067,0.460043,-1.216717,0.000237
120,1.000000,-8.216897,-6.022950,-5.581229,1.296060,0.460053,-1.216711,0.000245
121,1.008333,-8.224128,-6.014734,-5.603117,1.296044,0.460070,-1.216708,0.000236
122,1.016667,-8.216607,-6.012043,-5.596585,1.296054,0.460070,-1.216709,0.000231
123,1.025000,-8.234872,-6.018487,-5.596813,1.296061,0.460050,-1.216702,0.000249
124,1.033333,-8.212047,-6.017403,-5.589811,1.296061,0.460055,-1.216695,0.000242
125,1.041667,-8.224912,-6.017637,-5.597843,1.296052,0.460052,-1.216690,0.000247
126,1.050000,-8.220748,-6.013387,-5.602330,1.296059,0.460046,-1.216710,0.000242
127,1.058333,-8.220075,-6.013819,-5.601014,1.296066,0.460049,-1.216698,0.000233
128,1.066667,-8.223053,-6.015463,-5.596810,1.296060,0.460044,-1.216699,0.000241
129,1.075000,-8.230185,-6.014063,-5.590230,1.296064,0.460052,-1.216702,0.000234
130,1.083333,-8.227870,-6.009094,-5.605439,1.296060,0.460053,-1.216702,0.000244
131,1.091667,-8.211169,-6.027092,-5.591483,1.296066,0.460051,-1.216697,0.000232
132,1.100000,-8.211456,-6.026474,-5.596959,1.296059,0.460047,-1.216692,0.000238
133,1.108333,-8.225515,-6.014814,-5.594311,1.296064,0.460065,-1.216701,0.000245
134,1.116667,-8.235867,-6.011428,-5.608909,1.296050,0.460076,-1.216707,0.000248
135,1.125000,-8.218264,-6.019626,-5.586744,1.296052,0.460058,-1.216688,0.000242
136,1.133333,-8.225947,-6.023230,-5.597301,1.296059,0.460065,-1.216697,0.000234
137,1.141667,-8.226587,-6.018149,-5.598155,1.296058,0.460060,-1.216675,0.000243
138,1.150000,-8.228358,-6.013489,-5.612727,1.296065,0.460048,-1.216689,0.000233
139,1.158333,-8.226650,-6.018542,-5.591799,1.296068,0.460039,-1.216687,0.000233
140,1.166667,-8.215352,-6.031571,-5.595313,1.296085,0.460034,-1.216689,0.000235
141,1.175000,-8.229737,-6.017070,-5.596728,1.296075,0.460039,-1.216689,0.000244
142,1.183333,-8.236029,-6.011956,-5.602108,1.296066,0.460051,-1.216691,0.000244
143,1.191667,-8.225718,-6.022448,-5.596474,1.296070,0.460059,-1.216698,0.000237
144,1.200000,-8.219361,-6.018264,-5.592467,1.296070,0.460054,-1.216694,0.000238
145,1.208333,-8.229520,-6.020673,-5.606601,1.296073,0.460065,-1.216691,0.000240
146,1.216667,-8.212651,-6.017863,-5.584494,1.296062,0.460058,-1.216677,0.000235
147,1.225000,-8.216881,-6.021644,-5.588031,1.296057,0.460057,-1.216684,0.000242
148,1.233333,-8.206144,-6.026165,-5.585057,1.296059,0.460051,-1.216684,0.000234
149,1.241667,-8.203615,-6.020173,-5.590009,1.296066,0.460053,-1.216675,0.000243
150,1.250000,-8.226583,-6.017344,-5.596815,1.296060,0.460053,-1.216674,0.000253
151,1.258333,-8.225648,-6.019685,-5.594579,1.296066,0.460051,-1.216683,0.000243
152,1.266667,-8.218272,-6.018775,-5.588456,1.296079,0.460052,-1.216685,0.000229
153,1.275000,-8.217834,-6.024903,-5.591365,1.296067,0.460047,-1.216684,0.000238
